year,survival_rate,GDP,CPI,Unemployment,interest_rate
1954,,2908.667,26.798333333333332,5.6499999999999995,1.0083333333333333
1955,,3083.0257500000002,26.795833333333334,4.366666666666666,1.7850000000000001
1956,,3148.765,27.190833333333334,4.125,2.7283333333333335
1957,,3215.0652499999997,28.113333333333333,4.3,3.105
1958,,3191.2160000000003,28.88083333333333,6.841666666666666,1.5725
1959,,3412.42125,29.150000000000002,5.45,3.3049999999999997
1960,,3500.2725000000005,29.584999999999997,5.541666666666667,3.2158333333333338
1961,,3590.06625,29.901666666666667,6.691666666666666,1.955
1962,,3810.12325,30.253333333333334,5.566666666666666,2.7083333333333335
1963,,3976.1417500000002,30.633333333333336,5.641666666666667,3.1783333333333332
1964,,4205.27725,31.03833333333333,5.158333333333333,3.4966666666666666
1965,,4478.55525,31.528333333333332,4.508333333333334,4.075
1966,,4773.931250000001,32.47083333333333,3.7916666666666665,5.111666666666667
1967,,4904.8637499999995,33.375,3.841666666666667,4.22
1968,,5145.914250000001,34.791666666666664,3.5583333333333336,5.659166666666667
1969,,5306.5945,36.68333333333333,3.4916666666666667,8.204166666666667
1970,,5316.39125,38.84166666666667,4.983333333333333,7.183333333333334
1971,,5491.445500000001,40.483333333333334,5.95,4.6625000000000005
1972,,5780.04825,41.80833333333333,5.6000000000000005,4.434166666666667
1973,,6106.3705,44.425000000000004,4.858333333333333,8.727500000000001
1974,,6073.36275,49.31666666666666,5.641666666666667,10.5025
1975,,6060.87525,53.824999999999996,8.475,5.824166666666667
1976,,6387.4365,56.93333333333334,7.7,5.045
1977,,6682.804500000001,60.61666666666667,7.05,5.5375000000000005
1978,0.9082969223709572,7052.71125,65.24166666666666,6.066666666666666,7.930833333333333
1979,0.9105812773615662,7275.99925,72.58333333333333,5.8500000000000005,11.194166666666666
1980,0.9012645303047079,7257.3165,82.38333333333334,7.175,13.355833333333331
1981,0.8999173361816747,7441.485,90.93333333333334,7.616666666666667,16.378333333333334
1982,0.891412009476735,7307.313999999999,96.53333333333335,9.708333333333334,12.258333333333333
1983,0.9052266705790185,7642.2655,99.58333333333333,9.6,9.086666666666668
1984,0.9088410058520163,8195.295250000001,103.93333333333334,7.508333333333333,10.225
1985,0.894018455932992,8537.00375,107.60000000000001,7.191666666666666,8.100833333333334
1986,0.9002429443897886,8832.61125,109.69166666666666,7.0,6.805
1987,0.8968206147109873,9137.74475,113.61666666666667,6.175,6.6575
1988,0.9012552217727147,9519.42675,118.27499999999999,5.491666666666667,7.5683333333333325
1989,0.9019771224265811,9869.00325,123.94166666666666,5.258333333333334,9.216666666666667
1990,0.9023923145744178,10055.1285,130.65833333333333,5.616666666666667,8.099166666666667
1991,0.897151808724185,10044.2375,136.16666666666666,6.8500000000000005,5.6875
1992,0.9058932231819159,10398.04625,140.30833333333334,7.491666666666667,3.5216666666666665
1993,0.9140618309021038,10684.17875,144.475,6.908333333333334,3.0224999999999995
1994,0.9128254246227536,11114.64625,148.225,6.1000000000000005,4.201666666666667
1995,0.9147101672072354,11413.01225,152.38333333333333,5.591666666666666,5.836666666666666
1996,0.9117673596990646,11843.599,156.85833333333332,5.408333333333334,5.298333333333333
1997,0.9090902619411129,12370.299500000001,160.525,4.941666666666666,5.46
1998,0.9174865273887293,12924.87575,163.00833333333333,4.5,5.353333333333333
1999,0.9163000827373784,13543.774,166.58333333333334,4.216666666666667,4.97
2000,0.9173812406581858,14096.033000000001,172.1916666666667,3.966666666666667,6.235833333333333
2001,0.9168994831291347,14230.726,177.04166666666666,4.741666666666666,3.8874999999999997
2002,0.913917958255335,14472.7115,179.86666666666667,5.783333333333334,1.6666666666666667
2003,0.9165669338338169,14877.3125,184.0,5.991666666666667,1.1275
2004,0.9185062237073877,15449.75725,188.90833333333333,5.541666666666667,1.3491666666666668
2005,0.9166646829993128,15987.957499999999,195.26666666666665,5.083333333333333,3.2133333333333334
2006,0.9123542963897275,16433.147500000003,201.5583333333333,4.608333333333333,4.964166666666666
2007,0.9116853640072871,16762.445499999998,207.34416666666667,4.616666666666666,5.019166666666666
2008,0.9052396940273876,16781.48475,215.25424999999998,5.8,1.9275
2009,0.8995173557823402,16349.1105,214.56466666666665,9.283333333333333,0.16
2010,0.9122262574835922,16789.7505,218.0761666666667,9.608333333333334,0.17500000000000002
2011,0.9157866545072629,17052.4105,224.923,8.933333333333334,0.10166666666666667
2012,0.9246185804161482,17442.75925,229.58608333333333,8.075,0.14
2013,0.9240429843055504,17812.167,232.95174999999998,7.358333333333333,0.1075
2014,0.9250948524138168,18261.71425,236.715,6.158333333333334,0.08916666666666667
2015,0.9255145875185106,18799.622,237.00175000000002,5.2749999999999995,0.1325
2016,0.9260373631698886,19141.67225,240.00541666666666,4.875,0.395
2017,0.924690140102201,19612.1025,245.121,4.358333333333333,1.0016666666666667
2018,0.9246867883972543,20193.895249999998,251.0995,3.891666666666666,1.8316666666666668
2019,0.9230686192158093,20715.6715,255.65258333333335,3.6750000000000003,2.158333333333333
2020,0.9201370087691904,20267.584749999998,258.85575,8.1,0.3758333333333333
2021,0.9185245789868413,21494.79825,270.96791666666667,5.358333333333333,0.08
2022,0.9122834465010446,22034.82875,292.6254166666667,3.641666666666667,1.6833333333333333
2023,,22671.0965,304.70416666666665,3.6333333333333333,5.024166666666667
2024,,23305.0235,313.69783333333334,4.033333333333333,5.1433333333333335
2025,,23526.085,319.086,4.0,4.33
