date,UNRATE,CPIAUCSL,GDPC1,FEDFUNDS
1990-01-01,5.4,127.5,10047.386,8.23
1990-02-01,5.3,128.0,,8.24
1990-03-01,5.2,128.6,,8.28
1990-04-01,5.4,128.9,10083.855,8.26
1990-05-01,5.4,129.1,,8.18
1990-06-01,5.2,129.9,,8.29
1990-07-01,5.5,130.5,10090.569,8.15
1990-08-01,5.7,131.6,,8.13
1990-09-01,5.9,132.5,,8.20
1990-10-01,5.9,133.4,9998.704,8.11
1990-11-01,6.2,133.7,,7.81
1990-12-01,6.3,134.2,,7.31
1991-01-01,6.4,134.7,9951.916,6.91
1991-02-01,6.6,134.8,,6.25
1991-03-01,6.8,134.8,,6.12
1991-04-01,6.7,135.1,10029.51,5.91
1991-05-01,6.9,135.6,,5.78
1991-06-01,6.9,136.0,,5.90
1991-07-01,6.8,136.2,10080.195,5.82
1991-08-01,6.9,136.6,,5.66
1991-09-01,6.9,137.0,,5.45
1991-10-01,7.0,137.2,10115.329,5.21
1991-11-01,7.0,137.8,,4.81
1991-12-01,7.3,138.2,,4.43
1992-01-01,7.3,138.3,10236.435,4.03
1992-02-01,7.4,138.6,,4.06
1992-03-01,7.4,139.1,,3.98
1992-04-01,7.4,139.4,10347.429,3.73
1992-05-01,7.6,139.7,,3.82
1992-06-01,7.8,140.1,,3.76
1992-07-01,7.7,140.5,10449.673,3.25
1992-08-01,7.6,140.8,,3.30
1992-09-01,7.6,141.1,,3.22
1992-10-01,7.3,141.7,10558.648,3.10
1992-11-01,7.4,142.1,,3.09
1992-12-01,7.4,142.3,,2.92
1993-01-01,7.3,142.8,10576.275,3.02
1993-02-01,7.1,143.1,,3.03
1993-03-01,7.0,143.3,,3.07
1993-04-01,7.1,143.8,10637.847,2.96
1993-05-01,7.1,144.2,,3.00
1993-06-01,7.0,144.3,,3.04
1993-07-01,6.9,144.5,10688.606,3.06
1993-08-01,6.8,144.8,,3.03
1993-09-01,6.7,145.0,,3.09
1993-10-01,6.8,145.6,10833.987,2.99
1993-11-01,6.6,146.0,,3.02
1993-12-01,6.5,146.3,,2.96
1994-01-01,6.6,146.3,10939.116,3.05
1994-02-01,6.6,146.7,,3.25
1994-03-01,6.5,147.1,,3.34
1994-04-01,6.4,147.2,11087.361,3.56
1994-05-01,6.1,147.5,,4.01
1994-06-01,6.1,147.9,,4.25
1994-07-01,6.1,148.4,11152.176,4.26
1994-08-01,6.0,149.0,,4.47
1994-09-01,5.9,149.3,,4.73
1994-10-01,5.8,149.4,11279.932,4.76
1994-11-01,5.6,149.8,,5.29
1994-12-01,5.5,150.1,,5.45
1995-01-01,5.6,150.5,11319.951,5.53
1995-02-01,5.4,150.9,,5.92
1995-03-01,5.4,151.2,,5.98
1995-04-01,5.8,151.8,11353.721,6.05
1995-05-01,5.6,152.1,,6.01
1995-06-01,5.6,152.4,,6.00
1995-07-01,5.7,152.6,11450.31,5.85
1995-08-01,5.7,152.9,,5.74
1995-09-01,5.6,153.1,,5.80
1995-10-01,5.5,153.5,11528.067,5.76
1995-11-01,5.6,153.7,,5.80
1995-12-01,5.6,153.9,,5.60
1996-01-01,5.6,154.7,11614.418,5.56
1996-02-01,5.5,155.0,,5.22
1996-03-01,5.5,155.5,,5.31
1996-04-01,5.6,156.1,11808.14,5.22
1996-05-01,5.6,156.4,,5.24
1996-06-01,5.3,156.7,,5.27
1996-07-01,5.5,157.0,11914.063,5.40
1996-08-01,5.1,157.2,,5.22
1996-09-01,5.2,157.7,,5.30
1996-10-01,5.2,158.2,12037.775,5.24
1996-11-01,5.4,158.7,,5.31
1996-12-01,5.4,159.1,,5.29
1997-01-01,5.3,159.4,12115.472,5.25
1997-02-01,5.2,159.7,,5.19
1997-03-01,5.2,159.8,,5.39
1997-04-01,5.1,159.9,12317.221,5.51
1997-05-01,4.9,159.9,,5.50
1997-06-01,5.0,160.2,,5.56
1997-07-01,4.9,160.4,12471.01,5.52
1997-08-01,4.8,160.8,,5.54
1997-09-01,4.9,161.2,,5.54
1997-10-01,4.7,161.5,12577.495,5.50
1997-11-01,4.6,161.7,,5.52
1997-12-01,4.7,161.8,,5.50
1998-01-01,4.6,162.0,12703.742,5.56
1998-02-01,4.6,162.0,,5.51
1998-03-01,4.7,162.0,,5.49
1998-04-01,4.3,162.2,12821.339,5.45
1998-05-01,4.4,162.6,,5.49
1998-06-01,4.5,162.8,,5.56
1998-07-01,4.5,163.2,12982.752,5.54
1998-08-01,4.5,163.4,,5.55
1998-09-01,4.6,163.5,,5.51
1998-10-01,4.5,163.9,13191.67,5.07
1998-11-01,4.4,164.1,,4.83
1998-12-01,4.4,164.4,,4.68
1999-01-01,4.3,164.7,13315.597,4.63
1999-02-01,4.4,164.7,,4.76
1999-03-01,4.2,164.8,,4.81
1999-04-01,4.3,165.9,13426.748,4.74
1999-05-01,4.2,166.0,,4.74
1999-06-01,4.3,166.0,,4.76
1999-07-01,4.3,166.7,13604.771,4.99
1999-08-01,4.2,167.1,,5.07
1999-09-01,4.2,167.8,,5.22
1999-10-01,4.1,168.1,13827.98,5.20
1999-11-01,4.1,168.4,,5.42
1999-12-01,4.0,168.8,,5.30
2000-01-01,4.0,169.3,13878.147,5.45
2000-02-01,4.1,170.0,,5.73
2000-03-01,4.0,171.0,,5.85
2000-04-01,3.8,170.9,14130.908,6.02
2000-05-01,4.0,171.2,,6.27
2000-06-01,4.0,172.2,,6.53
2000-07-01,4.0,172.7,14145.312,6.54
2000-08-01,4.1,172.7,,6.50
2000-09-01,3.9,173.6,,6.52
2000-10-01,3.9,173.9,14229.765,6.51
2000-11-01,3.9,174.2,,6.51
2000-12-01,3.9,174.6,,6.40
2001-01-01,4.2,175.6,14183.12,5.98
2001-02-01,4.2,176.0,,5.49
2001-03-01,4.3,176.1,,5.31
2001-04-01,4.4,176.4,14271.694,4.8
2001-05-01,4.3,177.3,,4.21
2001-06-01,4.5,177.7,,3.97
2001-07-01,4.6,177.4,14214.516,3.77
2001-08-01,4.9,177.4,,3.65
2001-09-01,5.0,178.1,,3.07
2001-10-01,5.3,177.6,14253.574,2.49
2001-11-01,5.5,177.5,,2.09
2001-12-01,5.7,177.4,,1.82
2002-01-01,5.7,177.7,14372.785,1.73
2002-02-01,5.7,178.0,,1.74
2002-03-01,5.7,178.5,,1.73
2002-04-01,5.9,179.3,14460.848,1.75
2002-05-01,5.8,179.5,,1.75
2002-06-01,5.8,179.6,,1.75
2002-07-01,5.8,180.0,14519.633,1.73
2002-08-01,5.7,180.5,,1.74
2002-09-01,5.7,180.8,,1.75
2002-10-01,5.7,181.2,14537.58,1.75
2002-11-01,5.9,181.5,,1.34
2002-12-01,6.0,181.8,,1.24
2003-01-01,5.8,182.600,14614.141,1.24
2003-02-01,5.9,183.600,,1.26
2003-03-01,5.9,183.900,,1.25
2003-04-01,6.0,183.200,14743.567,1.26
2003-05-01,6.1,182.900,,1.26
2003-06-01,6.3,183.100,,1.22
2003-07-01,6.2,183.700,14988.782,1.01
2003-08-01,6.1,184.5,,1.03
2003-09-01,6.1,185.100,,1.01
2003-10-01,6.0,184.9,15162.76,1.01
2003-11-01,5.8,185.000,,1.00
2003-12-01,5.7,185.500,,0.98
2004-01-01,5.7,186.300,15248.68,1.00
2004-02-01,5.6,186.700,,1.01
2004-03-01,5.8,187.100,,1.00
2004-04-01,5.6,187.400,15366.85,1.00
2004-05-01,5.6,188.200,,1.00
2004-06-01,5.6,188.900,,1.03
2004-07-01,5.5,189.100,15512.619,1.26
2004-08-01,5.4,189.200,,1.43
2004-09-01,5.4,189.800,,1.61
2004-10-01,5.5,190.8,15670.88,1.76
2004-11-01,5.4,191.700,,1.93
2004-12-01,5.4,191.700,,2.16
2005-01-01,5.3,191.600,15844.727,2.28
2005-02-01,5.4,192.400,,2.50
2005-03-01,5.2,193.100,,2.63
2005-04-01,5.2,193.700,15922.782,2.79
2005-05-01,5.1,193.600,,3.00
2005-06-01,5.0,193.700,,3.04
2005-07-01,5.0,194.900,16047.587,3.26
2005-08-01,4.9,196.100,,3.50
2005-09-01,5.0,198.800,,3.62
2005-10-01,5.0,199.100,16136.734,3.78
2005-11-01,5.0,198.100,,4.00
2005-12-01,4.9,198.100,,4.16
2006-01-01,4.7,199.300,16353.835,4.29
2006-02-01,4.8,199.400,,4.49
2006-03-01,4.7,199.700,,4.59
2006-04-01,4.7,200.700,16396.151,4.79
2006-05-01,4.6,201.300,,4.94
2006-06-01,4.6,201.800,,4.99
2006-07-01,4.7,202.900,16420.738,5.24
2006-08-01,4.7,203.800,,5.25
2006-09-01,4.5,202.800,,5.25
2006-10-01,4.4,201.900,16561.866,5.25
2006-11-01,4.5,202.000,,5.25
2006-12-01,4.4,203.100,,5.24
2007-01-01,4.6,203.437,16611.69,5.25
2007-02-01,4.5,204.226,,5.26
2007-03-01,4.4,205.288,,5.26
2007-04-01,4.5,205.904,16713.314,5.25
2007-05-01,4.4,206.755,,5.25
2007-06-01,4.6,207.234,,5.25
2007-07-01,4.7,207.603,16809.587,5.26
2007-08-01,4.6,207.667,,5.02
2007-09-01,4.7,208.547,,4.94
2007-10-01,4.7,209.190,16915.191,4.76
2007-11-01,4.7,210.834,,4.49
2007-12-01,5.0,211.445,,4.24
2008-01-01,5.0,212.174,16843.003,3.94
2008-02-01,4.9,212.687,,2.98
2008-03-01,5.1,213.448,,2.61
2008-04-01,5.0,213.942,16943.291,2.28
2008-05-01,5.4,215.208,,1.98
2008-06-01,5.6,217.463,,2.00
2008-07-01,5.8,219.016,16854.295,2.01
2008-08-01,6.1,218.690,,2.00
2008-09-01,6.1,218.877,,1.81
2008-10-01,6.5,216.995,16485.35,0.97
2008-11-01,6.8,213.153,,0.39
2008-12-01,7.3,211.398,,0.16
2009-01-01,7.8,211.933,16298.262,0.15
2009-02-01,8.3,212.705,,0.22
2009-03-01,8.7,212.495,,0.18
2009-04-01,9.0,212.709,16269.145,0.15
2009-05-01,9.4,213.022,,0.18
2009-06-01,9.5,214.790,,0.21
2009-07-01,9.5,214.726,16326.281,0.16
2009-08-01,9.6,215.445,,0.16
2009-09-01,9.8,215.861,,0.15
2009-10-01,10.0,216.509,16502.754,0.12
2009-11-01,9.9,217.234,,0.12
2009-12-01,9.9,217.347,,0.12
2010-01-01,9.8,217.488,16582.71,0.11
2010-02-01,9.8,217.281,,0.13
2010-03-01,9.9,217.353,,0.16
2010-04-01,9.9,217.403,16743.162,0.20
2010-05-01,9.6,217.290,,0.20
2010-06-01,9.4,217.199,,0.18
2010-07-01,9.4,217.605,16872.266,0.18
2010-08-01,9.5,217.923,,0.19
2010-09-01,9.5,218.275,,0.19
2010-10-01,9.4,219.035,16960.864,0.19
2010-11-01,9.8,219.590,,0.19
2010-12-01,9.3,220.472,,0.18
2011-01-01,9.1,221.187,16920.632,0.17
2011-02-01,9.0,221.898,,0.16
2011-03-01,9.0,223.046,,0.14
2011-04-01,9.1,224.093,17035.114,0.10
2011-05-01,9.0,224.806,,0.09
2011-06-01,9.1,224.806,,0.09
2011-07-01,9.0,225.395,17031.313,0.07
2011-08-01,9.0,226.106,,0.10
2011-09-01,9.0,226.597,,0.08
2011-10-01,8.8,226.750,17222.583,0.07
2011-11-01,8.6,227.169,,0.08
2011-12-01,8.5,227.223,,0.07
2012-01-01,8.3,227.842,17367.01,0.08
2012-02-01,8.3,228.329,,0.10
2012-03-01,8.2,228.807,,0.13
2012-04-01,8.2,229.187,17444.525,0.14
2012-05-01,8.2,228.713,,0.16
2012-06-01,8.2,228.524,,0.16
2012-07-01,8.2,228.590,17469.65,0.16
2012-08-01,8.1,229.918,,0.13
2012-09-01,7.8,231.015,,0.14
2012-10-01,7.8,231.638,17489.852,0.16
2012-11-01,7.7,231.249,,0.16
2012-12-01,7.9,231.221,,0.16
2013-01-01,8.0,231.679,17662.4,0.14
2013-02-01,7.7,232.937,,0.15
2013-03-01,7.5,232.282,,0.14
2013-04-01,7.6,231.797,17709.671,0.15
2013-05-01,7.5,231.893,,0.11
2013-06-01,7.5,232.445,,0.09
2013-07-01,7.3,232.900,17860.45,0.09
2013-08-01,7.2,233.456,,0.08
2013-09-01,7.2,233.544,,0.08
2013-10-01,7.2,233.669,18016.147,0.09
2013-11-01,6.9,234.100,,0.08
2013-12-01,6.7,234.719,,0.09
2014-01-01,6.6,235.288,17953.974,0.07
2014-02-01,6.7,235.547,,0.07
2014-03-01,6.7,236.028,,0.08
2014-04-01,6.2,236.468,18185.911,0.09
2014-05-01,6.3,236.918,,0.09
2014-06-01,6.1,237.231,,0.10
2014-07-01,6.2,237.498,18406.941,0.09
2014-08-01,6.1,237.460,,0.09
2014-09-01,5.9,237.477,,0.09
2014-10-01,5.7,237.430,18500.031,0.09
2014-11-01,5.8,236.983,,0.09
2014-12-01,5.6,236.252,,0.12
2015-01-01,5.7,234.747,18666.621,0.11
2015-02-01,5.5,235.342,,0.11
2015-03-01,5.4,235.976,,0.11
2015-04-01,5.4,236.222,18782.243,0.12
2015-05-01,5.6,237.001,,0.12
2015-06-01,5.3,237.657,,0.13
2015-07-01,5.2,238.034,18857.418,0.13
2015-08-01,5.1,238.033,,0.14
2015-09-01,5.0,237.498,,0.14
2015-10-01,5.0,237.733,18892.206,0.12
2015-11-01,5.1,238.017,,0.12
2015-12-01,5.0,237.761,,0.24
2016-01-01,4.8,237.652,19001.69,0.34
2016-02-01,4.9,237.336,,0.38
2016-03-01,5.0,238.080,,0.36
2016-04-01,5.1,238.992,19062.709,0.37
2016-05-01,4.8,239.557,,0.37
2016-06-01,4.9,240.222,,0.38
2016-07-01,4.8,240.101,19197.938,0.39
2016-08-01,4.9,240.545,,0.40
2016-09-01,5.0,241.176,,0.40
2016-10-01,4.9,241.741,19304.352,0.40
2016-11-01,4.7,242.026,,0.41
2016-12-01,4.7,242.637,,0.54
2017-01-01,4.7,243.618,19398.343,0.65
2017-02-01,4.6,244.006,,0.66
2017-03-01,4.4,243.892,,0.79
2017-04-01,4.4,244.193,19506.949,0.90
2017-05-01,4.4,244.004,,0.91
2017-06-01,4.3,244.163,,1.04
2017-07-01,4.3,244.243,19660.766,1.15
2017-08-01,4.4,245.183,,1.16
2017-09-01,4.3,246.435,,1.15
2017-10-01,4.2,246.626,19882.352,1.15
2017-11-01,4.2,247.284,,1.16
2017-12-01,4.1,247.805,,1.30
2018-01-01,4.0,248.859,20044.077,1.41
2018-02-01,4.1,249.529,,1.42
2018-03-01,4.0,249.577,,1.51
2018-04-01,4.0,250.227,20150.476,1.69
2018-05-01,3.8,250.792,,1.70
2018-06-01,4.0,251.018,,1.82
2018-07-01,3.8,251.214,20276.154,1.91
2018-08-01,3.8,251.663,,1.91
2018-09-01,3.7,252.182,,1.95
2018-10-01,3.8,252.772,20304.874,2.19
2018-11-01,3.8,252.594,,2.20
2018-12-01,3.9,252.767,,2.27
2019-01-01,4.0,252.561,20431.641,2.40
2019-02-01,3.8,253.319,,2.40
2019-03-01,3.8,254.277,,2.41
2019-04-01,3.7,255.233,20602.275,2.42
2019-05-01,3.6,255.296,,2.39
2019-06-01,3.6,255.213,,2.38
2019-07-01,3.7,255.802,20843.322,2.40
2019-08-01,3.6,256.036,,2.13
2019-09-01,3.5,256.430,,2.04
2019-10-01,3.6,257.155,20985.448,1.83
2019-11-01,3.6,257.879,,1.55
2019-12-01,3.6,258.630,,1.55
2020-01-01,3.6,259.127,20693.238,1.55
2020-02-01,3.5,259.250,,1.58
2020-03-01,4.4,258.076,,0.65
2020-04-01,14.8,256.032,19056.617,0.05
2020-05-01,13.2,255.802,,0.05
2020-06-01,11.0,257.042,,0.08
2020-07-01,10.2,258.352,20548.793,0.09
2020-08-01,8.4,259.316,,0.10
2020-09-01,7.8,259.997,,0.09
2020-10-01,6.9,260.319,20771.691,0.09
2020-11-01,6.7,260.911,,0.09
2020-12-01,6.7,262.045,,0.09
2021-01-01,6.4,262.639,21058.379,0.09
2021-02-01,6.2,263.573,,0.08
2021-03-01,6.1,264.847,,0.07
2021-04-01,6.1,266.625,21389.005,0.07
2021-05-01,5.8,268.404,,0.06
2021-06-01,5.9,270.710,,0.08
2021-07-01,5.4,271.965,21571.421,0.10
2021-08-01,5.1,272.752,,0.09
2021-09-01,4.7,273.942,,0.08
2021-10-01,4.5,276.528,21960.388,0.08
2021-11-01,4.2,278.824,,0.08
2021-12-01,3.9,280.806,,0.08
2022-01-01,4.0,282.542,21903.85,0.08
2022-02-01,3.8,284.525,,0.08
2022-03-01,3.7,287.467,,0.20
2022-04-01,3.7,288.582,21919.222,0.33
2022-05-01,3.6,291.299,,0.77
2022-06-01,3.6,295.072,,1.21
2022-07-01,3.5,294.940,22066.784,1.68
2022-08-01,3.6,295.162,,2.33
2022-09-01,3.5,296.421,,2.56
2022-10-01,3.6,297.979,22249.459,3.08
2022-11-01,3.6,298.708,,3.78
2022-12-01,3.5,298.808,,4.10
